newLevelId,sourceLevelId,largeGroup,largeGroupRange,smallGroup,smallGroupInLarge,smallGroupRange,smallSlot,role,complexityScore,difficultyTier,generatedName,category,filled,colors,scoreRank,smallGroupAvgScore,largeGroupAvgScore,challengeDeltaVsSetupAvg,note
162,104,2,151-200,13,3,161-165,2,setup_2,74.36,困难,中型多色环形纹章,纹样/环形纹章,730,4,59,74.7,75.57,,setup slot: keeps local average controlled
163,131,2,151-200,13,3,161-165,3,setup_3,74.42,困难,小型多色左右对称徽章,纹样/左右对称徽章,329,7,60,74.7,75.57,,setup slot: keeps local average controlled
164,271,2,151-200,13,3,161-165,4,setup_4,74.6,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,462,8,61,74.7,75.57,,setup slot: keeps local average controlled
165,276,2,151-200,13,3,161-165,5,challenge,75.99,困难,中型高彩双轴对称图腾,纹样/双轴对称图腾,468,9,78,74.7,75.57,1.61,challenge slot: harder than the four setup levels
166,140,2,151-200,14,4,166-170,1,setup_1,74.61,困难,小型多色对称拼豆图,图案/普通拼豆图,258,7,62,75.07,75.57,,setup slot: keeps local average controlled
167,299,2,151-200,14,4,166-170,2,setup_2,74.77,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,500,6,64,75.07,75.57,,setup slot: keeps local average controlled
168,182,2,151-200,14,4,166-170,3,setup_3,74.81,困难,中型多色普通拼豆图,图案/普通拼豆图,683,6,65,75.07,75.57,,setup slot: keeps local average controlled
169,213,2,151-200,14,4,166-170,4,setup_4,74.86,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,594,5,66,75.07,75.57,,setup slot: keeps local average controlled
170,124,2,151-200,14,4,166-170,5,challenge,76.31,困难,大型高彩双轴对称图腾,纹样/双轴对称图腾,1600,9,83,75.07,75.57,1.55,challenge slot: harder than the four setup levels
171,275,2,151-200,15,5,171-175,1,setup_1,75.07,困难,中型多色普通拼豆图,图案/普通拼豆图,455,7,67,75.48,75.57,,setup slot: keeps local average controlled
172,181,2,151-200,15,5,171-175,2,setup_2,75.24,困难,中型多色碎色拼贴图,纹样/碎色马赛克,515,4,69,75.48,75.57,,setup slot: keeps local average controlled
173,168,2,151-200,15,5,171-175,3,setup_3,75.25,困难,中型高彩双轴对称图腾,纹样/双轴对称图腾,576,9,70,75.48,75.57,,setup slot: keeps local average controlled
174,293,2,151-200,15,5,171-175,4,setup_4,75.3,困难,中型多色环形纹章,纹样/环形纹章,542,7,71,75.48,75.57,,setup slot: keeps local average controlled
175,287,2,151-200,15,5,171-175,5,challenge,76.52,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,551,6,88,75.48,75.57,1.3,challenge slot: harder than the four setup levels
176,112,2,151-200,16,6,176-180,1,setup_1,75.32,困难,大型多色双轴对称图腾,纹样/双轴对称图腾,1080,7,72,75.91,75.57,,setup slot: keeps local average controlled
177,292,2,151-200,16,6,176-180,2,setup_2,75.58,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,702,7,74,75.91,75.57,,setup slot: keeps local average controlled
178,229,2,151-200,16,6,176-180,3,setup_3,75.75,困难,中型多色左右对称徽章,纹样/左右对称徽章,456,7,75,75.91,75.57,,setup slot: keeps local average controlled
179,341,2,151-200,16,6,176-180,4,setup_4,75.88,困难,中型多色左右对称徽章,纹样/左右对称徽章,758,8,76,75.91,75.57,,setup slot: keeps local average controlled
180,304,2,151-200,16,6,176-180,5,challenge,77.01,困难,中型多色左右对称徽章,纹样/左右对称徽章,668,6,93,75.91,75.57,1.38,challenge slot: harder than the four setup levels
181,141,2,151-200,17,7,181-185,1,setup_1,75.92,困难,大型多色双轴对称图腾,纹样/双轴对称图腾,1681,7,77,76.29,75.57,,setup slot: keeps local average controlled
182,107,2,151-200,17,7,181-185,2,setup_2,76.01,困难,中型多色环形纹章,纹样/环形纹章,701,7,79,76.29,75.57,,setup slot: keeps local average controlled
183,240,2,151-200,17,7,181-185,3,setup_3,76.11,困难,大型多色简笔轮廓,图标/简笔轮廓,1262,5,80,76.29,75.57,,setup slot: keeps local average controlled
184,330,2,151-200,17,7,181-185,4,setup_4,76.21,困难,中型高彩双轴对称图腾,纹样/双轴对称图腾,552,9,81,76.29,75.57,,setup slot: keeps local average controlled
185,152,2,151-200,17,7,181-185,5,challenge,77.2,困难,大型多色左右对称徽章,纹样/左右对称徽章,1581,5,98,76.29,75.57,1.14,challenge slot: harder than the four setup levels
186,142,2,151-200,18,8,186-190,1,setup_1,76.25,困难,超大型多色双轴对称图腾,纹样/双轴对称图腾,2025,8,82,76.58,75.57,,setup slot: keeps local average controlled
187,242,2,151-200,18,8,186-190,2,setup_2,76.34,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,448,8,84,76.58,75.57,,setup slot: keeps local average controlled
188,154,2,151-200,18,8,186-190,3,setup_3,76.35,困难,中型多色环形纹章,纹样/环形纹章,538,6,85,76.58,75.57,,setup slot: keeps local average controlled
189,336,2,151-200,18,8,186-190,4,setup_4,76.37,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,520,7,86,76.58,75.57,,setup slot: keeps local average controlled
190,250,2,151-200,18,8,186-190,5,challenge,77.59,困难,中型多色环形纹章,纹样/环形纹章,455,8,103,76.58,75.57,1.26,challenge slot: harder than the four setup levels
191,290,2,151-200,19,9,191-195,1,setup_1,76.39,困难,中型多色饱满拼豆图,图案/普通拼豆图,720,6,87,76.86,75.57,,setup slot: keeps local average controlled
192,301,2,151-200,19,9,191-195,2,setup_2,76.55,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,550,6,89,76.86,75.57,,setup slot: keeps local average controlled
193,120,2,151-200,19,9,191-195,3,setup_3,76.74,困难,中型高彩环形纹章（左右对称）,纹样/环形纹章,688,9,90,76.86,75.57,,setup slot: keeps local average controlled
194,166,2,151-200,19,9,191-195,4,setup_4,76.89,困难,中型高彩双轴对称图腾,纹样/双轴对称图腾,729,9,91,76.86,75.57,,setup slot: keeps local average controlled
195,307,2,151-200,19,9,191-195,5,challenge,77.74,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,529,8,108,76.86,75.57,1.1,challenge slot: harder than the four setup levels
196,320,2,151-200,20,10,196-200,1,setup_1,76.91,困难,中型多色对称拼豆图,图案/普通拼豆图,551,7,92,77.29,75.57,,setup slot: keeps local average controlled
197,111,2,151-200,20,10,196-200,2,setup_2,77.05,困难,大型多色双轴对称图腾,纹样/双轴对称图腾,1225,8,94,77.29,75.57,,setup slot: keeps local average controlled
198,138,2,151-200,20,10,196-200,3,setup_3,77.12,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,625,8,95,77.29,75.57,,setup slot: keeps local average controlled
199,325,2,151-200,20,10,196-200,4,setup_4,77.14,困难,中型多色饱满拼豆图,图案/普通拼豆图,853,6,96,77.29,75.57,,setup slot: keeps local average controlled
200,319,2,151-200,20,10,196-200,5,challenge,78.22,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,570,7,113,77.29,75.57,1.16,challenge slot: harder than the four setup levels
201,305,3,201-250,21,1,201-205,1,setup_1,77.16,困难,中型多色左右对称徽章,纹样/左右对称徽章,572,5,97,77.53,78.98,,setup slot: keeps local average controlled
202,105,3,201-250,21,1,201-205,2,setup_2,77.29,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,576,8,99,77.53,78.98,,setup slot: keeps local average controlled
203,102,3,201-250,21,1,201-205,3,setup_3,77.32,困难,中型多色普通拼豆图,图案/普通拼豆图,409,7,100,77.53,78.98,,setup slot: keeps local average controlled
204,323,3,201-250,21,1,201-205,4,setup_4,77.33,困难,大型多色普通拼豆图,图案/普通拼豆图,1563,6,101,77.53,78.98,,setup slot: keeps local average controlled
205,114,3,201-250,21,1,201-205,5,challenge,78.53,专家,大型多色双轴对称图腾,纹样/双轴对称图腾,1600,8,118,77.53,78.98,1.25,challenge slot: harder than the four setup levels
206,153,3,201-250,22,2,206-210,1,setup_1,77.54,困难,大型多色左右对称徽章,纹样/左右对称徽章,1431,6,102,77.83,78.98,,setup slot: keeps local average controlled
207,262,3,201-250,22,2,206-210,2,setup_2,77.59,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,552,7,104,77.83,78.98,,setup slot: keeps local average controlled
208,233,3,201-250,22,2,206-210,3,setup_3,77.64,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,546,8,105,77.83,78.98,,setup slot: keeps local average controlled
209,303,3,201-250,22,2,206-210,4,setup_4,77.68,困难,中型多色左右对称徽章,纹样/左右对称徽章,729,5,106,77.83,78.98,,setup slot: keeps local average controlled
210,160,3,201-250,22,2,206-210,5,challenge,78.7,专家,中型多色左右对称徽章,纹样/左右对称徽章,620,6,123,77.83,78.98,1.09,challenge slot: harder than the four setup levels
211,259,3,201-250,23,3,211-215,1,setup_1,77.69,困难,中型多色左右对称徽章,纹样/左右对称徽章,525,7,107,78.12,78.98,,setup slot: keeps local average controlled
212,118,3,201-250,23,3,211-215,2,setup_2,77.84,困难,中型高彩双轴对称图腾,纹样/双轴对称图腾,676,9,109,78.12,78.98,,setup slot: keeps local average controlled
213,232,3,201-250,23,3,211-215,3,setup_3,78.06,专家,中型多色左右对称徽章,纹样/左右对称徽章,634,6,110,78.12,78.98,,setup slot: keeps local average controlled
214,263,3,201-250,23,3,211-215,4,setup_4,78.06,专家,中型多色环形纹章,纹样/环形纹章,526,5,111,78.12,78.98,,setup slot: keeps local average controlled
215,192,3,201-250,23,3,211-215,5,challenge,78.96,专家,中型高彩环形纹章,纹样/环形纹章,420,9,128,78.12,78.98,1.05,challenge slot: harder than the four setup levels
216,103,3,201-250,24,4,216-220,1,setup_1,78.09,专家,中型多色饱满拼豆图,图案/普通拼豆图,814,8,112,78.51,78.98,,setup slot: keeps local average controlled
217,116,3,201-250,24,4,216-220,2,setup_2,78.25,专家,中型高彩饱满拼豆图,图案/普通拼豆图,562,9,114,78.51,78.98,,setup slot: keeps local average controlled
218,269,3,201-250,24,4,216-220,3,setup_3,78.34,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,810,7,115,78.51,78.98,,setup slot: keeps local average controlled
219,237,3,201-250,24,4,216-220,4,setup_4,78.35,专家,中型多色普通拼豆图,图案/普通拼豆图,735,7,116,78.51,78.98,,setup slot: keeps local average controlled
220,179,3,201-250,24,4,216-220,5,challenge,79.54,专家,中型多色左右对称徽章,纹样/左右对称徽章,586,6,133,78.51,78.98,1.28,challenge slot: harder than the four setup levels
221,241,3,201-250,25,5,221-225,1,setup_1,78.48,专家,中型高彩普通拼豆图,图案/普通拼豆图,610,9,117,78.82,78.98,,setup slot: keeps local average controlled
222,344,3,201-250,25,5,221-225,2,setup_2,78.53,专家,中型多色左右对称徽章,纹样/左右对称徽章,535,8,119,78.82,78.98,,setup slot: keeps local average controlled
223,225,3,201-250,25,5,221-225,3,setup_3,78.62,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,809,6,120,78.82,78.98,,setup slot: keeps local average controlled
224,167,3,201-250,25,5,221-225,4,setup_4,78.64,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,725,9,121,78.82,78.98,,setup slot: keeps local average controlled
225,174,3,201-250,25,5,221-225,5,challenge,79.85,专家,中型高彩普通拼豆图,图案/普通拼豆图,619,10,138,78.82,78.98,1.28,challenge slot: harder than the four setup levels
226,268,3,201-250,26,6,226-230,1,setup_1,78.64,专家,中型多色横幅长卷,构图/横幅长卷,463,7,122,79.03,78.98,,setup slot: keeps local average controlled
227,274,3,201-250,26,6,226-230,2,setup_2,78.8,专家,中型高彩环形纹章（左右对称）,纹样/环形纹章,546,10,124,79.03,78.98,,setup slot: keeps local average controlled
228,115,3,201-250,26,6,226-230,3,setup_3,78.82,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,489,9,125,79.03,78.98,,setup slot: keeps local average controlled
229,215,3,201-250,26,6,226-230,4,setup_4,78.82,专家,大型多色环形纹章,纹样/环形纹章,944,8,126,79.03,78.98,,setup slot: keeps local average controlled
230,211,3,201-250,26,6,226-230,5,challenge,80.08,专家,中型多色碎色拼贴图,纹样/碎色马赛克,547,6,143,79.03,78.98,1.31,challenge slot: harder than the four setup levels
231,327,3,201-250,27,7,231-235,1,setup_1,78.91,专家,中型多色环形纹章,纹样/环形纹章,837,4,127,79.44,78.98,,setup slot: keeps local average controlled
232,228,3,201-250,27,7,231-235,2,setup_2,79.02,专家,中型多色环形纹章,纹样/环形纹章,623,5,129,79.44,78.98,,setup slot: keeps local average controlled
233,218,3,201-250,27,7,231-235,3,setup_3,79.47,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,870,8,130,79.44,78.98,,setup slot: keeps local average controlled
234,193,3,201-250,27,7,231-235,4,setup_4,79.51,专家,中型多色简笔轮廓,图标/简笔轮廓,882,4,131,79.44,78.98,,setup slot: keeps local average controlled
235,145,3,201-250,27,7,231-235,5,challenge,80.31,专家,中型多色普通拼豆图,图案/普通拼豆图,542,8,148,79.44,78.98,1.08,challenge slot: harder than the four setup levels
236,306,3,201-250,28,8,236-240,1,setup_1,79.53,专家,中型多色普通拼豆图,图案/普通拼豆图,619,7,132,79.9,78.98,,setup slot: keeps local average controlled
237,285,3,201-250,28,8,236-240,2,setup_2,79.63,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,812,6,134,79.9,78.98,,setup slot: keeps local average controlled
238,248,3,201-250,28,8,236-240,3,setup_3,79.75,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,550,9,135,79.9,78.98,,setup slot: keeps local average controlled
239,108,3,201-250,28,8,236-240,4,setup_4,79.81,专家,中型多色普通拼豆图,图案/普通拼豆图,653,7,136,79.9,78.98,,setup slot: keeps local average controlled
240,220,3,201-250,28,8,236-240,5,challenge,80.76,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,756,7,153,79.9,78.98,1.08,challenge slot: harder than the four setup levels
241,195,3,201-250,29,9,241-245,1,setup_1,79.83,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,600,9,137,80.17,78.98,,setup slot: keeps local average controlled
242,247,3,201-250,29,9,241-245,2,setup_2,79.87,专家,中型多色满版色块图,构图/满版色块,783,6,139,80.17,78.98,,setup slot: keeps local average controlled
243,130,3,201-250,29,9,241-245,3,setup_3,79.94,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,1170,10,140,80.17,78.98,,setup slot: keeps local average controlled
244,165,3,201-250,29,9,241-245,4,setup_4,80.05,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,575,7,141,80.17,78.98,,setup slot: keeps local average controlled
245,172,3,201-250,29,9,241-245,5,challenge,81.14,专家,中型多色镂空对称图腾,纹样/镂空图腾,568,6,158,80.17,78.98,1.22,challenge slot: harder than the four setup levels
246,183,3,201-250,30,10,246-250,1,setup_1,80.08,专家,中型多色普通拼豆图,图案/普通拼豆图,468,7,142,80.4,78.98,,setup slot: keeps local average controlled
247,146,3,201-250,30,10,246-250,2,setup_2,80.1,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,1392,11,144,80.4,78.98,,setup slot: keeps local average controlled
248,314,3,201-250,30,10,246-250,3,setup_3,80.14,专家,中型高彩环形纹章（左右对称）,纹样/环形纹章,526,9,145,80.4,78.98,,setup slot: keeps local average controlled
249,312,3,201-250,30,10,246-250,4,setup_4,80.16,专家,大型多色横幅长卷,构图/横幅长卷,1091,4,146,80.4,78.98,,setup slot: keeps local average controlled
250,309,3,201-250,30,10,246-250,5,challenge,81.51,专家,中型多色左右对称徽章,纹样/左右对称徽章,568,7,163,80.4,78.98,1.39,challenge slot: harder than the four setup levels
251,188,4,251-300,31,1,251-255,1,setup_1,80.26,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,483,7,147,80.72,83.15,,setup slot: keeps local average controlled
252,132,4,251-300,31,1,251-255,2,setup_2,80.33,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,992,10,149,80.72,83.15,,setup slot: keeps local average controlled
253,239,4,251-300,31,1,251-255,3,setup_3,80.49,专家,中型高彩环形纹章,纹样/环形纹章,400,10,150,80.72,83.15,,setup slot: keeps local average controlled
254,158,4,251-300,31,1,251-255,4,setup_4,80.57,专家,中型高彩碎色拼贴图,纹样/碎色马赛克,542,9,151,80.72,83.15,,setup slot: keeps local average controlled
255,125,4,251-300,31,1,251-255,5,challenge,81.93,专家,小型高彩双轴对称图腾,纹样/双轴对称图腾,347,11,168,80.72,83.15,1.52,challenge slot: harder than the four setup levels
256,331,4,251-300,32,2,256-260,1,setup_1,80.67,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,609,6,152,81.17,83.15,,setup slot: keeps local average controlled
257,335,4,251-300,32,2,256-260,2,setup_2,80.78,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,630,6,154,81.17,83.15,,setup slot: keeps local average controlled
258,162,4,251-300,32,2,256-260,3,setup_3,80.91,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,529,10,155,81.17,83.15,,setup slot: keeps local average controlled
