levelId,generatedName,category,difficultyTier,complexityScore,width,height,filled,colors,timeLimit,displacementRatio,secPerCell,shapeComponents,colorComponents,holes,horizontalSymmetry,verticalSymmetry,fillRate,animal,style,file
32,中型多色环形纹章,纹样/环形纹章,困难,75.25,20,27,401,6,0,0.99,,1,82,1,0.8778,0.8333,0.7426,,,temp\classification_input_004_100\level_32.json
33,中型多色环形纹章,纹样/环形纹章,专家,80.48,32,31,714,8,0,0.8768,,1,161,1,0.7016,0.8165,0.7198,,,temp\classification_input_004_100\level_33.json
34,小型多色简笔轮廓,图标/简笔轮廓,困难,68.64,20,16,169,5,0,1.0,,7,56,0,0.8688,0.6438,0.5281,,,temp\classification_input_004_100\level_34.json
35,中型高彩对称拼豆图,图案/普通拼豆图,困难,75.11,32,33,729,9,0,0.7874,,1,66,0,0.8807,0.6534,0.6903,,,temp\classification_input_004_100\level_35.json
36,大型高彩双轴对称图腾,纹样/双轴对称图腾,专家,78.99,36,38,1368,9,0,0.9444,,1,95,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_36.json
37,中型高彩环形纹章,纹样/环形纹章,专家,85.79,29,33,684,12,0,0.8743,,1,112,1,0.8224,0.7973,0.7147,,,temp\classification_input_004_100\level_37.json
38,小型多色环形纹章,纹样/环形纹章,困难,71.92,16,20,160,7,0,1.0,,2,54,1,0.75,0.6375,0.5,,,temp\classification_input_004_100\level_38.json
39,中型多色普通拼豆图,图案/普通拼豆图,困难,75.95,24,24,402,7,0,0.9701,,1,57,0,0.8194,0.7917,0.6979,,,temp\classification_input_004_100\level_39.json
40,小型多色左右对称徽章,纹样/左右对称徽章,困难,67.45,16,15,188,4,0,1.0,,1,36,0,1.0,0.8,0.7833,,,temp\classification_input_004_100\level_40.json
41,超大型多色双轴对称图腾,纹样/双轴对称图腾,困难,71.88,42,47,1974,6,0,0.9868,,1,49,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_41.json
42,中型高彩双轴对称图腾,纹样/双轴对称图腾,专家,81.04,22,33,726,10,0,0.759,,1,99,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_42.json
43,小型多色双轴对称图腾,纹样/双轴对称图腾,困难,67.59,16,16,256,6,0,1.0,,1,25,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_43.json
44,小型多色简笔轮廓,图标/简笔轮廓,困难,71.14,24,23,286,5,0,0.965,,4,51,0,0.6377,0.337,0.5181,,,temp\classification_input_004_100\level_44.json
45,小型多色环形纹章,纹样/环形纹章,困难,72.6,16,18,200,7,0,0.96,,2,52,1,0.7639,0.6944,0.6944,,,temp\classification_input_004_100\level_45.json
46,小型多色左右对称徽章,纹样/左右对称徽章,困难,71.91,17,23,249,7,0,1.0,,1,31,0,1.0,0.6726,0.6368,,,temp\classification_input_004_100\level_46.json
47,大型多色左右对称徽章,纹样/左右对称徽章,困难,66.43,33,36,913,7,0,0.5498,,1,57,0,0.9209,0.7323,0.7685,,,temp\classification_input_004_100\level_47.json
48,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,76.31,25,26,522,7,0,0.8391,,1,79,0,1.0,1.0,0.8031,,,temp\classification_input_004_100\level_48.json
49,小型多色普通拼豆图,图案/普通拼豆图,困难,72.4,24,20,341,7,0,0.7419,,1,75,0,0.7792,0.7708,0.7104,,,temp\classification_input_004_100\level_49.json
50,中型高彩双轴对称图腾,纹样/双轴对称图腾,专家,78.5,22,23,506,9,0,0.7569,,1,100,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_50.json
51,小型多色双轴对称图腾,纹样/双轴对称图腾,困难,73.68,18,17,225,7,0,0.9867,,1,45,0,0.9542,0.8889,0.7353,,,temp\classification_input_004_100\level_51.json
52,小型多色左右对称徽章,纹样/左右对称徽章,困难,72.99,16,19,198,7,0,0.9899,,1,39,0,0.9474,0.5921,0.6513,,,temp\classification_input_004_100\level_52.json
53,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,73.78,21,22,462,7,0,0.9957,,1,50,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_53.json
54,小型多色双轴对称图腾,纹样/双轴对称图腾,普通,59.76,16,18,288,4,0,1.0,,1,14,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_54.json
55,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,74.06,26,30,780,7,0,0.9962,,1,63,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_55.json
56,中型高彩碎色拼贴图,纹样/碎色马赛克,专家,85.76,35,30,704,10,0,0.9943,,1,159,0,0.8438,0.8362,0.6705,,,temp\classification_input_004_100\level_56.json
57,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,72.01,22,23,506,7,0,0.998,,1,43,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_57.json
58,中型多色纵向拼豆图,图案/普通拼豆图,困难,77.87,25,34,500,7,0,1.0,,1,72,0,0.7976,0.7929,0.5882,,,temp\classification_input_004_100\level_58.json
59,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,73.32,25,25,625,5,0,1.0,,1,76,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_59.json
60,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,77.19,30,28,840,8,0,1.0,,1,75,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_60.json
61,中型高彩普通拼豆图,图案/普通拼豆图,专家,85.06,29,36,703,10,0,1.0,,1,100,0,0.7203,0.749,0.6734,,,temp\classification_input_004_100\level_61.json
62,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,72.3,27,31,837,7,0,1.0,,1,49,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_62.json
63,中型多色碎色拼贴图,纹样/碎色马赛克,专家,79.81,32,31,461,8,0,1.0,,1,86,0,0.6431,0.5161,0.4647,,,temp\classification_input_004_100\level_63.json
64,中型高彩双轴对称图腾,纹样/双轴对称图腾,专家,83.53,22,22,484,10,0,0.9897,,1,126,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_64.json
65,大型高彩左右对称徽章,纹样/左右对称徽章,超高压,90.22,39,46,1062,14,0,1.0,,1,224,0,0.9175,0.7681,0.592,,,temp\classification_input_004_100\level_65.json
66,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,67.59,20,23,460,4,0,1.0,,1,46,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_66.json
67,大型多色双轴对称图腾,纹样/双轴对称图腾,困难,76.66,34,35,1190,8,0,0.905,,1,93,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_67.json
68,中型多色纵向拼豆图,图案/普通拼豆图,困难,72.77,20,31,505,6,0,0.9307,,1,61,0,0.8419,0.7935,0.8145,,,temp\classification_input_004_100\level_68.json
69,中型多色简笔轮廓,图标/简笔轮廓,困难,73.62,20,26,402,5,0,1.0,,1,66,0,0.9,0.8462,0.7731,,,temp\classification_input_004_100\level_69.json
70,中型多色普通拼豆图,图案/普通拼豆图,困难,74.76,23,27,456,8,0,0.9803,,1,47,0,0.7874,0.7907,0.7343,,,temp\classification_input_004_100\level_70.json
71,大型高彩双轴对称图腾,纹样/双轴对称图腾,专家,79.96,27,48,1181,10,0,0.9966,,1,73,0,0.9707,0.9059,0.9113,,,temp\classification_input_004_100\level_71.json
72,大型多色双轴对称图腾,纹样/双轴对称图腾,困难,77.95,38,36,1368,8,0,1.0,,1,94,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_72.json
73,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,73.78,21,18,378,6,0,0.9974,,1,52,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_73.json
74,大型高彩双轴对称图腾,纹样/双轴对称图腾,专家,83.59,30,30,900,10,0,1.0,,1,102,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_74.json
75,小型多色双轴对称图腾,纹样/双轴对称图腾,困难,75.48,20,15,300,7,0,0.9967,,1,45,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_75.json
76,大型多色双轴对称图腾,纹样/双轴对称图腾,困难,69.79,32,32,1024,8,0,0.8955,,1,20,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_76.json
77,中型多色普通拼豆图,图案/普通拼豆图,困难,73.45,40,39,756,8,0,0.9894,,1,45,0,0.5385,0.5962,0.4846,,,temp\classification_input_004_100\level_77.json
78,小型多色左右对称徽章,纹样/左右对称徽章,困难,74.45,17,18,251,7,0,0.996,,1,59,0,1.0,0.7451,0.8203,,,temp\classification_input_004_100\level_78.json
79,中型高彩碎色拼贴图,纹样/碎色马赛克,专家,81.44,31,43,819,9,0,0.768,,1,157,0,0.7254,0.6774,0.6144,,,temp\classification_input_004_100\level_79.json
80,小型多色左右对称徽章,纹样/左右对称徽章,普通,63.24,18,20,226,4,0,1.0,,1,22,0,0.9778,0.7667,0.6278,,,temp\classification_input_004_100\level_80.json
81,中型多色对称拼豆图,图案/普通拼豆图,困难,68.89,28,33,720,8,0,0.8139,,1,31,0,0.8658,0.7338,0.7792,,,temp\classification_input_004_100\level_81.json
82,中型高彩镂空对称图腾,纹样/镂空图腾,专家,84.51,40,24,780,12,0,0.9949,,1,87,2,0.9708,0.7792,0.8125,,,temp\classification_input_004_100\level_82.json
83,大型高彩双轴对称图腾,纹样/双轴对称图腾,专家,87.61,35,37,1295,11,0,0.9961,,1,149,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_83.json
84,大型高彩双轴对称图腾,纹样/双轴对称图腾,专家,80.65,33,35,1155,10,0,0.8571,,1,105,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_84.json
85,中型高彩环形纹章（左右对称）,纹样/环形纹章,专家,83.92,32,32,503,11,0,0.8807,,27,215,1,0.9316,0.5332,0.4912,,,temp\classification_input_004_100\level_85.json
86,中型高彩左右对称徽章,纹样/左右对称徽章,专家,78.55,24,24,468,9,0,0.7906,,3,80,0,0.9097,0.8333,0.8125,,,temp\classification_input_004_100\level_86.json
87,中型多色左右对称徽章,纹样/左右对称徽章,困难,69.02,30,37,487,8,360,1.0,0.7392,6,19,0,0.9333,0.6324,0.4387,,,temp\classification_input_004_100\level_87.json
88,大型多色双轴对称图腾,纹样/双轴对称图腾,困难,75.45,43,41,1763,7,0,0.5389,,1,205,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_88.json
89,小型多色双轴对称图腾,纹样/双轴对称图腾,困难,74.08,18,18,324,6,0,0.9938,,1,65,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_89.json
90,大型多色对称拼豆图,图案/普通拼豆图,专家,78.21,37,42,1216,7,0,0.6924,,1,173,0,0.8623,0.8713,0.7825,,,temp\classification_input_004_100\level_90.json
91,小型多色环形纹章,纹样/环形纹章,困难,75.17,15,20,216,8,0,0.9815,,1,53,1,0.8067,0.68,0.72,,,temp\classification_input_004_100\level_91.json
92,大型高彩双轴对称图腾,纹样/双轴对称图腾,专家,88.46,30,30,900,12,0,0.9467,,1,141,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_92.json
93,中型多色饱满拼豆图,图案/普通拼豆图,困难,74.13,29,24,525,6,0,0.8114,,1,80,0,0.8132,0.6466,0.7543,,,temp\classification_input_004_100\level_93.json
94,中型高彩双轴对称图腾,纹样/双轴对称图腾,专家,81.42,25,25,625,9,0,0.8704,,1,112,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_94.json
95,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,73.0,23,23,529,6,0,0.9773,,1,60,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_95.json
96,小型多色简笔轮廓,图标/简笔轮廓,普通,61.28,20,22,301,4,0,0.4784,,1,42,0,0.8955,0.7409,0.6841,,,temp\classification_input_004_100\level_96.json
97,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,69.63,25,24,600,6,0,0.805,,1,59,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_97.json
98,中型多色镂空对称图腾,纹样/镂空图腾,困难,77.98,25,24,504,7,0,0.9643,,1,85,3,0.8267,0.8933,0.84,,,temp\classification_input_004_100\level_98.json
99,大型高彩双轴对称图腾,纹样/双轴对称图腾,专家,81.75,32,32,1024,10,0,0.8145,,1,118,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_99.json
100,大型高彩双轴对称图腾,纹样/双轴对称图腾,专家,84.01,32,32,1024,9,0,0.8535,,1,171,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_100.json
