newLevelId,sourceLevelId,block,blockSlot,role,complexityScore,difficultyTier,generatedName,category,filled,colors,scoreRank,blockAvgScore,challengeDeltaVsSetupAvg,note
19,87,4,4,challenge,69.02,困难,中型多色左右对称徽章,纹样/左右对称徽章,487,8,21,67.69,1.78,每4关挑战点：高于本组前三关均值
20,66,5,1,setup_1,67.59,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,460,4,15,68.67,,铺垫关：拉低本组均值并承接难度上升
21,6,5,2,setup_2,67.93,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,441,7,16,68.67,,铺垫关：拉低本组均值并承接难度上升
22,34,5,3,setup_3,68.64,困难,小型多色简笔轮廓,图标/简笔轮廓,169,5,18,68.67,,铺垫关：拉低本组均值并承接难度上升
23,11,5,4,challenge,70.52,困难,中型多色对称拼豆图,图案/普通拼豆图,643,7,25,68.67,2.47,每4关挑战点：高于本组前三关均值
24,19,6,1,setup_1,68.69,困难,小型多色简笔轮廓,图标/简笔轮廓,173,5,19,69.78,,铺垫关：拉低本组均值并承接难度上升
25,81,6,2,setup_2,68.89,困难,中型多色对称拼豆图,图案/普通拼豆图,720,8,20,69.78,,铺垫关：拉低本组均值并承接难度上升
26,97,6,3,setup_3,69.63,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,600,6,22,69.78,,铺垫关：拉低本组均值并承接难度上升
27,46,6,4,challenge,71.91,困难,小型多色左右对称徽章,纹样/左右对称徽章,249,7,29,69.78,2.84,每4关挑战点：高于本组前三关均值
28,76,7,1,setup_1,69.79,困难,大型多色双轴对称图腾,纹样/双轴对称图腾,1024,8,23,70.85,,铺垫关：拉低本组均值并承接难度上升
29,7,7,2,setup_2,70.36,困难,小型多色左右对称徽章,纹样/左右对称徽章,228,5,24,70.85,,铺垫关：拉低本组均值并承接难度上升
30,9,7,3,setup_3,70.85,困难,小型多色普通拼豆图,图案/普通拼豆图,212,7,26,70.85,,铺垫关：拉低本组均值并承接难度上升
31,49,7,4,challenge,72.4,困难,小型多色普通拼豆图,图案/普通拼豆图,341,7,33,70.85,2.07,每4关挑战点：高于本组前三关均值
32,44,8,1,setup_1,71.14,困难,小型多色简笔轮廓,图标/简笔轮廓,286,5,27,71.93,,铺垫关：拉低本组均值并承接难度上升
33,41,8,2,setup_2,71.88,困难,超大型多色双轴对称图腾,纹样/双轴对称图腾,1974,6,28,71.93,,铺垫关：拉低本组均值并承接难度上升
34,38,8,3,setup_3,71.92,困难,小型多色环形纹章,纹样/环形纹章,160,7,30,71.93,,铺垫关：拉低本组均值并承接难度上升
35,68,8,4,challenge,72.77,困难,中型多色纵向拼豆图,图案/普通拼豆图,505,6,37,71.93,1.12,每4关挑战点：高于本组前三关均值
36,57,9,1,setup_1,72.01,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,506,7,31,72.52,,铺垫关：拉低本组均值并承接难度上升
37,62,9,2,setup_2,72.3,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,837,7,32,72.52,,铺垫关：拉低本组均值并承接难度上升
38,12,9,3,setup_3,72.59,困难,中型多色左右对称徽章,纹样/左右对称徽章,531,5,34,72.52,,铺垫关：拉低本组均值并承接难度上升
39,8,9,4,challenge,73.19,困难,中型多色普通拼豆图,图案/普通拼豆图,439,8,41,72.52,0.89,每4关挑战点：高于本组前三关均值
40,45,10,1,setup_1,72.6,困难,小型多色环形纹章,纹样/环形纹章,200,7,35,72.98,,铺垫关：拉低本组均值并承接难度上升
41,13,10,2,setup_2,72.68,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,462,8,36,72.98,,铺垫关：拉低本组均值并承接难度上升
42,52,10,3,setup_3,72.99,困难,小型多色左右对称徽章,纹样/左右对称徽章,198,7,38,72.98,,铺垫关：拉低本组均值并承接难度上升
43,20,10,4,challenge,73.67,困难,小型多色左右对称徽章,纹样/左右对称徽章,217,7,45,72.98,0.91,每4关挑战点：高于本组前三关均值
44,95,11,1,setup_1,73,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,529,6,39,73.38,,铺垫关：拉低本组均值并承接难度上升
45,10,11,2,setup_2,73.16,困难,中型多色左右对称徽章,纹样/左右对称徽章,455,6,40,73.38,,铺垫关：拉低本组均值并承接难度上升
46,59,11,3,setup_3,73.32,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,625,5,42,73.38,,铺垫关：拉低本组均值并承接难度上升
47,55,11,4,challenge,74.06,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,780,7,49,73.38,0.9,每4关挑战点：高于本组前三关均值
48,77,12,1,setup_1,73.45,困难,中型多色普通拼豆图,图案/普通拼豆图,756,8,43,73.88,,铺垫关：拉低本组均值并承接难度上升
49,69,12,2,setup_2,73.62,困难,中型多色简笔轮廓,图标/简笔轮廓,402,5,44,73.88,,铺垫关：拉低本组均值并承接难度上升
50,51,12,3,setup_3,73.68,困难,小型多色双轴对称图腾,纹样/双轴对称图腾,225,7,46,73.88,,铺垫关：拉低本组均值并承接难度上升
51,70,12,4,challenge,74.76,困难,中型多色普通拼豆图,图案/普通拼豆图,456,8,53,73.88,1.18,每4关挑战点：高于本组前三关均值
52,53,13,1,setup_1,73.78,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,462,7,47,74.22,,铺垫关：拉低本组均值并承接难度上升
53,73,13,2,setup_2,73.78,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,378,6,48,74.22,,铺垫关：拉低本组均值并承接难度上升
54,89,13,3,setup_3,74.08,困难,小型多色双轴对称图腾,纹样/双轴对称图腾,324,6,50,74.22,,铺垫关：拉低本组均值并承接难度上升
55,32,13,4,challenge,75.25,困难,中型多色环形纹章,纹样/环形纹章,401,6,57,74.22,1.37,每4关挑战点：高于本组前三关均值
56,93,14,1,setup_1,74.13,困难,中型多色饱满拼豆图,图案/普通拼豆图,525,6,51,74.97,,铺垫关：拉低本组均值并承接难度上升
57,78,14,2,setup_2,74.45,困难,小型多色左右对称徽章,纹样/左右对称徽章,251,7,52,74.97,,铺垫关：拉低本组均值并承接难度上升
58,18,14,3,setup_3,75,困难,中型多色镂空对称图腾,纹样/镂空图腾,450,7,54,74.97,,铺垫关：拉低本组均值并承接难度上升
59,48,14,4,challenge,76.31,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,522,7,61,74.97,1.78,每4关挑战点：高于本组前三关均值
60,35,15,1,setup_1,75.11,困难,中型高彩对称拼豆图,图案/普通拼豆图,729,9,55,75.73,,铺垫关：拉低本组均值并承接难度上升
61,91,15,2,setup_2,75.17,困难,小型多色环形纹章,纹样/环形纹章,216,8,56,75.73,,铺垫关：拉低本组均值并承接难度上升
62,88,15,3,setup_3,75.45,困难,大型多色双轴对称图腾,纹样/双轴对称图腾,1763,7,58,75.73,,铺垫关：拉低本组均值并承接难度上升
63,60,15,4,challenge,77.19,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,840,8,65,75.73,1.95,每4关挑战点：高于本组前三关均值
64,75,16,1,setup_1,75.48,困难,小型多色双轴对称图腾,纹样/双轴对称图腾,300,7,59,76.5,,铺垫关：拉低本组均值并承接难度上升
65,39,16,2,setup_2,75.95,困难,中型多色普通拼豆图,图案/普通拼豆图,402,7,60,76.5,,铺垫关：拉低本组均值并承接难度上升
66,24,16,3,setup_3,76.57,困难,中型多色普通拼豆图,图案/普通拼豆图,712,6,62,76.5,,铺垫关：拉低本组均值并承接难度上升
67,98,16,4,challenge,77.98,困难,中型多色镂空对称图腾,纹样/镂空图腾,504,7,69,76.5,1.98,每4关挑战点：高于本组前三关均值
68,67,17,1,setup_1,76.66,困难,大型多色双轴对称图腾,纹样/双轴对称图腾,1190,8,63,77.53,,铺垫关：拉低本组均值并承接难度上升
69,25,17,2,setup_2,76.72,困难,中型多色普通拼豆图,图案/普通拼豆图,540,7,64,77.53,,铺垫关：拉低本组均值并承接难度上升
70,23,17,3,setup_3,77.75,困难,小型高彩镂空对称图腾,纹样/镂空图腾,245,10,66,77.53,,铺垫关：拉低本组均值并承接难度上升
71,36,17,4,challenge,78.99,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,1368,9,73,77.53,1.95,每4关挑战点：高于本组前三关均值
72,58,18,1,setup_1,77.87,困难,中型多色纵向拼豆图,图案/普通拼豆图,500,7,67,78.53,,铺垫关：拉低本组均值并承接难度上升
73,72,18,2,setup_2,77.95,困难,大型多色双轴对称图腾,纹样/双轴对称图腾,1368,8,68,78.53,,铺垫关：拉低本组均值并承接难度上升
74,90,18,3,setup_3,78.21,专家,大型多色对称拼豆图,图案/普通拼豆图,1216,7,70,78.53,,铺垫关：拉低本组均值并承接难度上升
75,28,18,4,challenge,80.09,专家,中型多色普通拼豆图,图案/普通拼豆图,653,8,77,78.53,2.08,每4关挑战点：高于本组前三关均值
76,50,19,1,setup_1,78.5,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,506,9,71,79.42,,铺垫关：拉低本组均值并承接难度上升
77,86,19,2,setup_2,78.55,专家,中型高彩左右对称徽章,纹样/左右对称徽章,468,9,72,79.42,,铺垫关：拉低本组均值并承接难度上升
78,29,19,3,setup_3,79.21,专家,小型高彩双轴对称图腾,纹样/双轴对称图腾,324,9,74,79.42,,铺垫关：拉低本组均值并承接难度上升
79,94,19,4,challenge,81.42,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,625,9,81,79.42,2.67,每4关挑战点：高于本组前三关均值
80,63,20,1,setup_1,79.81,专家,中型多色碎色拼贴图,纹样/碎色马赛克,461,8,75,80.94,,铺垫关：拉低本组均值并承接难度上升
81,71,20,2,setup_2,79.96,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,1181,10,76,80.94,,铺垫关：拉低本组均值并承接难度上升
82,33,20,3,setup_3,80.48,专家,中型多色环形纹章,纹样/环形纹章,714,8,78,80.94,,铺垫关：拉低本组均值并承接难度上升
83,64,20,4,challenge,83.53,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,484,10,85,80.94,3.45,每4关挑战点：高于本组前三关均值
84,84,21,1,setup_1,80.65,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,1155,10,79,81.91,,铺垫关：拉低本组均值并承接难度上升
85,42,21,2,setup_2,81.04,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,726,10,80,81.91,,铺垫关：拉低本组均值并承接难度上升
86,79,21,3,setup_3,81.44,专家,中型高彩碎色拼贴图,纹样/碎色马赛克,819,9,82,81.91,,铺垫关：拉低本组均值并承接难度上升
87,82,21,4,challenge,84.51,专家,中型高彩镂空对称图腾,纹样/镂空图腾,780,12,89,81.91,3.47,每4关挑战点：高于本组前三关均值
88,99,22,1,setup_1,81.75,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,1024,10,83,83.35,,铺垫关：拉低本组均值并承接难度上升
89,16,22,2,setup_2,82.27,专家,大型高彩普通拼豆图,图案/普通拼豆图,1334,11,84,83.35,,铺垫关：拉低本组均值并承接难度上升
90,74,22,3,setup_3,83.59,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,900,10,86,83.35,,铺垫关：拉低本组均值并承接难度上升
91,37,22,4,challenge,85.79,专家,中型高彩环形纹章,纹样/环形纹章,684,12,93,83.35,3.25,每4关挑战点：高于本组前三关均值
92,85,23,1,setup_1,83.92,专家,中型高彩环形纹章（左右对称）,纹样/环形纹章,503,11,87,85.14,,铺垫关：拉低本组均值并承接难度上升
93,100,23,2,setup_2,84.01,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,1024,9,88,85.14,,铺垫关：拉低本组均值并承接难度上升
94,26,23,3,setup_3,85.02,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,849,9,90,85.14,,铺垫关：拉低本组均值并承接难度上升
95,83,23,4,challenge,87.61,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,1295,11,95,85.14,3.29,每4关挑战点：高于本组前三关均值
96,61,24,1,setup_1,85.06,专家,中型高彩普通拼豆图,图案/普通拼豆图,703,10,91,86.52,,铺垫关：拉低本组均值并承接难度上升
97,56,24,2,setup_2,85.76,专家,中型高彩碎色拼贴图,纹样/碎色马赛克,704,10,92,86.52,,铺垫关：拉低本组均值并承接难度上升
98,27,24,3,setup_3,86.79,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,607,11,94,86.52,,铺垫关：拉低本组均值并承接难度上升
99,92,24,4,challenge,88.46,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,900,12,96,86.52,2.59,每4关挑战点：高于本组前三关均值
100,65,tail,1,final_peak,90.22,超高压,大型高彩左右对称徽章,纹样/左右对称徽章,1062,14,97,90.22,,第100关收束峰值，保留最高分关卡作为尾部挑战
