levelId,levelName,sourceColorId,sourceHex,semanticFamily,usage,localColorId,localName,localHex,mappingScore,topCandidates,isHighRisk
3,珍珠耳环少女,0,#312C45,蓝,69,18,深蓝,#36387E,31.479,18深蓝:31.479 / 19深灰:49.608 / 13天蓝:65.694,False
3,珍珠耳环少女,1,#FFBC3F,黄,54,3,黄色,#F8C811,-9.557,3黄色:-9.557 / 4橙色:28.188 / 9黄绿:57.326,False
3,珍珠耳环少女,2,#6BC2F3,天蓝,35,13,天蓝,#20A8DC,12.6,13天蓝:12.6 / 2青色:39.283 / 15浅紫:77.299,False
3,珍珠耳环少女,3,#DC6B21,橙/棕,52,4,橙色,#FE8B10,4.427,4橙色:4.427 / 16棕色:25.144 / 10红色:52.452,False
3,珍珠耳环少女,4,#2A64BD,天蓝,30,7,蓝色,#4A4DCF,34.005,7蓝色:34.005 / 18深蓝:43.487 / 13天蓝:43.575,False
3,珍珠耳环少女,5,#FFCB9F,橙/棕,84,5,肤色,#F4BD9E,8.865,5肤色:8.865 / 4橙色:37.464 / 16棕色:51.616,False
3,珍珠耳环少女,6,#FF767D,红,5,1,粉红,#ED5090,31.649,1粉红:31.649 / 10红色:42.64 / 17酒红:44.53,False
3,珍珠耳环少女,7,#FFFFFF,米白/白,12,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
3,珍珠耳环少女,8,#964411,橙/棕,50,16,棕色,#974714,1.503,16棕色:1.503 / 4橙色:27.779 / 17酒红:60.731,False
4,社畜小狗,0,#47281D,橙/棕,189,17,酒红,#782F3C,27.91,17酒红:27.91 / 19深灰:33.05 / 16棕色:41.34,False
4,社畜小狗,1,#CB8D65,橙/棕,156,5,肤色,#F4BD9E,19.098,5肤色:19.098 / 16棕色:29.554 / 4橙色:31.605,False
4,社畜小狗,2,#FFFFFF,米白/白,105,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
4,社畜小狗,3,#8A8A8A,灰,131,15,浅紫,#C4BED9,25.392,15浅紫:25.392 / 19深灰:34.409 / 20米白:36.76,False
4,社畜小狗,4,#D03434,红,30,10,红色,#EA281A,21.845,10红色:21.845 / 16棕色:35.165 / 17酒红:45.27,False
5,动感超人,0,#2E2941,蓝,132,18,深蓝,#36387E,32.464,18深蓝:32.464 / 19深灰:49.46 / 13天蓝:67.05,False
5,动感超人,1,#FF6460,红,12,10,红色,#EA281A,28.388,10红色:28.388 / 1粉红:40.566 / 16棕色:41.614,False
5,动感超人,2,#4FAAF4,天蓝,91,13,天蓝,#20A8DC,17.296,13天蓝:17.296 / 2青色:56.54 / 7蓝色:61.366,False
5,动感超人,3,#FEDD72,黄,24,3,黄色,#F8C811,-0.559,3黄色:-0.559 / 9黄绿:46.536 / 4橙色:48.99,False
5,动感超人,4,#FCEED1,米黄,88,20,米白,#F2EDE4,10.818,20米白:10.818 / 6米黄:16.789 / 5肤色:25.448,False
5,动感超人,5,#FDB2B2,红,6,14,浅粉,#EEB2BC,10.455,14浅粉:10.455 / 5肤色:20.874 / 6米黄:45.936,False
6,欸嘿小狗,0,#5A3A2D,橙/棕,137,17,酒红,#782F3C,26.667,17酒红:26.667 / 16棕色:37.677 / 19深灰:41.218,False
6,欸嘿小狗,1,#FFBC3F,黄,200,3,黄色,#F8C811,-9.557,3黄色:-9.557 / 4橙色:28.188 / 9黄绿:57.326,False
6,欸嘿小狗,2,#FFFFFF,米白/白,154,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
6,欸嘿小狗,3,#FF767D,红,14,1,粉红,#ED5090,31.649,1粉红:31.649 / 10红色:42.64 / 17酒红:44.53,False
7,鲁鲁,0,#A2C859,黄绿,2,9,黄绿,#9FCE21,23.279,9黄绿:23.279 / 11绿色:35.4 / 3黄色:51.824,False
7,鲁鲁,1,#DC6B21,橙/棕,117,4,橙色,#FE8B10,4.427,4橙色:4.427 / 16棕色:25.144 / 10红色:52.452,False
7,鲁鲁,2,#5E2916,橙/棕,69,17,酒红,#782F3C,24.437,17酒红:24.437 / 16棕色:28.043 / 19深灰:54.676,False
7,鲁鲁,3,#FFCF78,黄,104,3,黄色,#F8C811,6.794,3黄色:6.794 / 4橙色:43.218 / 5肤色:48.909,False
7,鲁鲁,4,#9BE9FF,天蓝,2,2,青色,#4EEAEA,24.647,2青色:24.647 / 13天蓝:30.251 / 20米白:70.261,False
7,鲁鲁,5,#FFFFFF,米白/白,2,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
8,表情包,0,#3A3A50,蓝,120,18,深蓝,#36387E,31.17,18深蓝:31.17 / 19深灰:54.66 / 13天蓝:58.238,False
8,表情包,1,#FBCC40,黄,86,3,黄色,#F8C811,-17.004,3黄色:-17.004 / 4橙色:39.415 / 9黄绿:46.734,False
8,表情包,2,#FFFFFF,米白/白,30,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
8,表情包,3,#F17E20,橙/棕,21,4,橙色,#FE8B10,-6.025,4橙色:-6.025 / 16棕色:34.716 / 3黄色:47.192,False
8,表情包,4,#FE7295,红,21,1,粉红,#ED5090,16.812,1粉红:16.812 / 17酒红:43.395 / 10红色:55.837,False
9,啤酒慕斯,0,#FFFFFF,米白/白,103,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
9,啤酒慕斯,1,#B34E0C,橙/棕,82,16,棕色,#974714,13.368,16棕色:13.368 / 4橙色:16.44 / 10红色:54.135,False
9,啤酒慕斯,2,#FF9903,黄,65,3,黄色,#F8C811,3.758,3黄色:3.758 / 4橙色:9.333 / 16棕色:66.886,False
9,啤酒慕斯,3,#FFD68A,黄,165,3,黄色,#F8C811,13.198,3黄色:13.198 / 5肤色:44.434 / 4橙色:49.322,False
9,啤酒慕斯,4,#FF6460,红,68,10,红色,#EA281A,28.388,10红色:28.388 / 1粉红:40.566 / 16棕色:41.614,False
9,啤酒慕斯,5,#FEB9B8,红,202,14,浅粉,#EEB2BC,9.716,14浅粉:9.716 / 5肤色:19.552 / 6米黄:43.598,False
9,啤酒慕斯,6,#A20036,红/粉,92,17,酒红,#782F3C,29.294,17酒红:29.294 / 1粉红:32.666 / 10红色:47.097,False
10,嘻哈喵,0,#783D32,红,110,17,酒红,#782F3C,17.238,17酒红:17.238 / 16棕色:29.058 / 1粉红:57.711,False
10,嘻哈喵,1,#D03434,红,187,10,红色,#EA281A,21.845,10红色:21.845 / 16棕色:35.165 / 17酒红:45.27,False
10,嘻哈喵,2,#FFD68A,黄,5,3,黄色,#F8C811,13.198,3黄色:13.198 / 5肤色:44.434 / 4橙色:49.322,False
10,嘻哈喵,3,#9BE9FF,天蓝,5,2,青色,#4EEAEA,24.647,2青色:24.647 / 13天蓝:30.251 / 20米白:70.261,False
10,嘻哈喵,4,#FFD6A8,橙/棕,97,5,肤色,#F4BD9E,13.404,5肤色:13.404 / 4橙色:40.845 / 14浅粉:56.067,False
10,嘻哈喵,5,#FFFFFF,米白/白,59,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
10,嘻哈喵,6,#2A64BD,天蓝,6,7,蓝色,#4A4DCF,34.005,7蓝色:34.005 / 18深蓝:43.487 / 13天蓝:43.575,False
11,魔法幽灵,0,#8E56AE,紫,70,18,深蓝,#36387E,33.763,18深蓝:33.763 / 7蓝色:37.347 / 8紫色:38.124,False
11,魔法幽灵,1,#D6BBF4,紫,76,15,浅紫,#C4BED9,20.404,15浅紫:20.404 / 20米白:38.455 / 14浅粉:61.047,False
11,魔法幽灵,2,#F8C83F,黄,25,3,黄色,#F8C811,-15.995,3黄色:-15.995 / 4橙色:38.18 / 9黄绿:47.387,False
11,魔法幽灵,3,#FFF7DB,米黄,6,20,米白,#F2EDE4,10.228,20米白:10.228 / 6米黄:17.684 / 5肤色:30.092,False
11,魔法幽灵,4,#9F9FD4,蓝,71,15,浅紫,#C4BED9,42.867,15浅紫:42.867 / 13天蓝:55.277 / 7蓝色:56.271,False
11,魔法幽灵,5,#FFFFFF,米白/白,228,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
11,魔法幽灵,6,#3A3A50,蓝,4,18,深蓝,#36387E,31.17,18深蓝:31.17 / 19深灰:54.66 / 13天蓝:58.238,False
11,魔法幽灵,7,#FFB1AB,红,20,14,浅粉,#EEB2BC,32.584,14浅粉:32.584 / 5肤色:36.042 / 1粉红:51.364,True
12,潘哒,0,#408B38,绿,32,11,绿色,#37A92D,23.089,11绿色:23.089 / 12深绿:33.252 / 9黄绿:50.223,False
12,潘哒,1,#94CB77,绿,54,11,绿色,#37A92D,33.689,11绿色:33.689 / 9黄绿:39.949 / 12深绿:49.434,False
12,潘哒,2,#2E2941,蓝,120,18,深蓝,#36387E,32.464,18深蓝:32.464 / 19深灰:49.46 / 13天蓝:67.05,False
12,潘哒,3,#858585,灰,44,15,浅紫,#C4BED9,26.999,15浅紫:26.999 / 19深灰:32.469 / 20米白:38.683,False
12,潘哒,4,#FFFFFF,米白/白,255,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
12,潘哒,5,#FF767D,红,10,1,粉红,#ED5090,31.649,1粉红:31.649 / 10红色:42.64 / 17酒红:44.53,False
12,潘哒,6,#F97F30,橙/棕,191,4,橙色,#FE8B10,-1.357,4橙色:-1.357 / 16棕色:33.66 / 3黄色:51.51,False
12,潘哒,7,#2A64BD,天蓝,32,7,蓝色,#4A4DCF,34.005,7蓝色:34.005 / 18深蓝:43.487 / 13天蓝:43.575,False
13,炫彩熊,0,#7785E3,蓝,128,7,蓝色,#4A4DCF,33.14,7蓝色:33.14 / 18深蓝:33.689 / 13天蓝:45.577,False
13,炫彩熊,1,#FFFFFF,米白/白,175,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
13,炫彩熊,2,#FFDA70,黄,26,3,黄色,#F8C811,-0.83,3黄色:-0.83 / 4橙色:46.928 / 9黄绿:48.108,False
13,炫彩熊,3,#FEA6ED,粉,74,14,浅粉,#EEB2BC,39.193,14浅粉:39.193 / 1粉红:41.283 / 15浅紫:69.251,False
13,炫彩熊,4,#FFD2D3,红,176,14,浅粉,#EEB2BC,13.913,14浅粉:13.913 / 20米白:16.854 / 15浅紫:41.341,False
13,炫彩熊,5,#9FDDF4,天蓝,93,13,天蓝,#20A8DC,27.556,13天蓝:27.556 / 2青色:29.084 / 20米白:68.098,False
13,炫彩熊,6,#A459F6,紫,28,8,紫色,#7221BC,19.739,8紫色:19.739 / 7蓝色:30.422 / 18深蓝:59.743,False
14,啾咪,0,#E0414C,红,398,10,红色,#EA281A,28.503,10红色:28.503 / 1粉红:36.288 / 16棕色:40.788,False
14,啾咪,1,#000000,黑/深灰,188,19,深灰,#373737,15.069,19深灰:15.069 / 17酒红:45.658 / 18深蓝:52.732,False
14,啾咪,2,#535353,黑/深灰,542,19,深灰,#373737,12.233,19深灰:12.233 / 17酒红:34.534 / 18深蓝:45.99,False
14,啾咪,3,#FFA2AA,红,142,14,浅粉,#EEB2BC,33.027,14浅粉:33.027 / 1粉红:40.412 / 5肤色:46.866,True
14,啾咪,4,#D6D6D6,米白/白,118,20,米白,#F2EDE4,-0.357,20米白:-0.357 / 15浅紫:16.424 / 6米黄:29.521,False
14,啾咪,5,#FFD06B,黄,16,3,黄色,#F8C811,-0.014,3黄色:-0.014 / 4橙色:41.628 / 9黄绿:52.693,False
15,月夜,0,#312C45,蓝,213,18,深蓝,#36387E,31.479,18深蓝:31.479 / 19深灰:49.608 / 13天蓝:65.694,False
15,月夜,1,#4D8DD9,天蓝,80,13,天蓝,#20A8DC,25.523,13天蓝:25.523 / 7蓝色:50.441 / 18深蓝:58.34,False
15,月夜,2,#FFFFFF,米白/白,133,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
15,月夜,3,#E9BF70,黄,20,3,黄色,#F8C811,10.59,3黄色:10.59 / 4橙色:44.758 / 5肤色:45.334,False
15,月夜,4,#ADBBFF,蓝,43,13,天蓝,#20A8DC,35.696,13天蓝:35.696 / 18深蓝:52.855 / 7蓝色:58.434,False
16,应援棒,0,#AF215D,粉,112,1,粉红,#ED5090,19.713,1粉红:19.713 / 17酒红:48.767 / 16棕色:77.312,False
16,应援棒,1,#FF96C5,粉,86,1,粉红,#ED5090,26.974,1粉红:26.974 / 14浅粉:27.648 / 17酒红:68.977,False
16,应援棒,2,#A8D7FF,天蓝,67,13,天蓝,#20A8DC,26.949,13天蓝:26.949 / 2青色:40.989 / 15浅紫:66.782,False
16,应援棒,3,#2B8DE1,天蓝,44,13,天蓝,#20A8DC,26.275,13天蓝:26.275 / 7蓝色:49.976 / 18深蓝:60.694,False
16,应援棒,4,#FDFBFD,米白/白,62,20,米白,#F2EDE4,-2.448,20米白:-2.448 / 15浅紫:24.652 / 6米黄:32.046,False
16,应援棒,5,#F5CC50,黄,42,3,黄色,#F8C811,-10.235,3黄色:-10.235 / 4橙色:41.727 / 9黄绿:45.51,False
17,彩虹花,0,#2E2623,橙/棕,152,19,深灰,#373737,0.479,19深灰:0.479 / 17酒红:38.51 / 16棕色:55.257,False
17,彩虹花,1,#D71621,红,30,10,红色,#EA281A,11.551,10红色:11.551 / 16棕色:43.549 / 1粉红:54.103,False
17,彩虹花,2,#E95810,橙/棕,30,4,橙色,#FE8B10,9.077,4橙色:9.077 / 16棕色:35.14 / 10红色:39.722,False
17,彩虹花,3,#FF86B1,红/粉,38,1,粉红,#ED5090,20.027,1粉红:20.027 / 17酒红:46.768 / 14浅粉:52.764,False
17,彩虹花,4,#FFBF3A,黄,27,3,黄色,#F8C811,-12.886,3黄色:-12.886 / 4橙色:30.048 / 9黄绿:55.288,False
17,彩虹花,5,#FFFFFF,米白/白,9,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
17,彩虹花,6,#B36BFF,紫,27,8,紫色,#7221BC,25.683,8紫色:25.683 / 7蓝色:31.788 / 18深蓝:58.497,False
17,彩虹花,7,#ACE946,黄绿,27,9,黄绿,#9FCE21,11.622,9黄绿:11.622 / 11绿色:38.558 / 3黄色:53.551,False
17,彩虹花,8,#89CEFF,天蓝,30,13,天蓝,#20A8DC,19.416,13天蓝:19.416 / 2青色:40.852 / 15浅紫:73.044,False
17,彩虹花,9,#4FF08E,绿,30,11,绿色,#37A92D,35.006,11绿色:35.006 / 12深绿:55.963 / 9黄绿:57.261,False
17,彩虹花,10,#61B744,绿,8,11,绿色,#37A92D,11.973,11绿色:11.973 / 9黄绿:31.823 / 12深绿:53.709,False
17,彩虹花,11,#78503F,橙/棕,40,17,酒红,#782F3C,27.012,17酒红:27.012 / 16棕色:31.947 / 19深灰:48.823,False
18,开启充电模式,0,#3D2351,紫,224,18,深蓝,#36387E,24.874,18深蓝:24.874 / 7蓝色:57.831 / 8紫色:59.502,False
18,开启充电模式,1,#3C9CCF,天蓝,98,13,天蓝,#20A8DC,7.105,13天蓝:7.105 / 2青色:47.099 / 7蓝色:70.684,False
18,开启充电模式,2,#FFEBD1,橙/棕,222,20,米白,#F2EDE4,10.454,20米白:10.454 / 6米黄:19.23 / 5肤色:22.451,False
18,开启充电模式,3,#8FD9E9,天蓝,84,2,青色,#4EEAEA,23.044,2青色:23.044 / 13天蓝:28.729 / 20米白:69.919,False
18,开启充电模式,4,#FFD06B,黄,75,3,黄色,#F8C811,-0.014,3黄色:-0.014 / 4橙色:41.628 / 9黄绿:52.693,False
18,开启充电模式,5,#FFA2AA,红,36,14,浅粉,#EEB2BC,33.027,14浅粉:33.027 / 1粉红:40.412 / 5肤色:46.866,True
18,开启充电模式,6,#BC86D4,紫,24,18,深蓝,#36387E,47.708,18深蓝:47.708 / 7蓝色:50.684 / 8紫色:53.47,False
18,开启充电模式,7,#E0414C,红,20,10,红色,#EA281A,28.503,10红色:28.503 / 1粉红:36.288 / 16棕色:40.788,False
18,开启充电模式,8,#81C34F,绿,36,11,绿色,#37A92D,22.004,11绿色:22.004 / 9黄绿:25.202 / 12深绿:58.361,False
19,海洋之星,0,#1D4B6A,天蓝,86,13,天蓝,#20A8DC,40.081,13天蓝:40.081 / 18深蓝:55.185 / 19深灰:64.082,False
19,海洋之星,1,#F5F5F5,米白/白,159,20,米白,#F2EDE4,-4.394,20米白:-4.394 / 15浅紫:23.464 / 6米黄:30.539,False
19,海洋之星,2,#D3F29D,黄绿,74,6,米黄,#EBDEA6,27.988,6米黄:27.988 / 9黄绿:40.349 / 11绿色:51.677,False
19,海洋之星,3,#FF9FC1,红/粉,53,14,浅粉,#EEB2BC,19.841,14浅粉:19.841 / 1粉红:31.714 / 17酒红:49.31,False
19,海洋之星,4,#86D5FF,天蓝,123,13,天蓝,#20A8DC,19.963,13天蓝:19.963 / 2青色:34.81 / 15浅紫:75.368,False
19,海洋之星,5,#D7C2FF,紫,69,15,浅紫,#C4BED9,20.401,15浅紫:20.401 / 20米白:39.209 / 14浅粉:65.335,False
20,珍珠,0,#5A3137,红,164,17,酒红,#782F3C,15.371,17酒红:15.371 / 16棕色:48.706 / 1粉红:59.08,False
20,珍珠,1,#F55E7F,红,354,1,粉红,#ED5090,17.438,1粉红:17.438 / 17酒红:41.499 / 10红色:48.5,False
20,珍珠,2,#FFAC9D,红,443,5,肤色,#F4BD9E,33.906,5肤色:33.906 / 14浅粉:38.996 / 16棕色:47.262,True
20,珍珠,3,#FEE7DC,橙/棕,608,20,米白,#F2EDE4,6.801,20米白:6.801 / 5肤色:22.157 / 14浅粉:28.538,False
20,珍珠,4,#FFCB6B,黄,19,3,黄色,#F8C811,1.982,3黄色:1.982 / 4橙色:39.406 / 5肤色:53.146,False
20,珍珠,5,#955388,粉,62,1,粉红,#ED5090,40.731,1粉红:40.731 / 14浅粉:48.332 / 17酒红:54.544,False
20,珍珠,6,#D3C3D5,紫,220,15,浅紫,#C4BED9,6.435,15浅紫:6.435 / 20米白:9.87 / 14浅粉:35.941,False
20,珍珠,7,#FFFFFF,米白/白,103,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
20,珍珠,8,#AA2337,红,86,17,酒红,#782F3C,27.228,17酒红:27.228 / 1粉红:36.464 / 16棕色:36.933,False
21,曲奇兔,0,#552F23,红,190,17,酒红,#782F3C,24.126,17酒红:24.126 / 16棕色:37.069 / 19深灰:62.024,False
21,曲奇兔,1,#BA562D,橙/棕,158,16,棕色,#974714,12.544,16棕色:12.544 / 4橙色:23.625 / 10红色:55.717,False
21,曲奇兔,2,#FFCF9B,橙/棕,271,5,肤色,#F4BD9E,13.513,5肤色:13.513 / 4橙色:35.733 / 16棕色:53.205,False
21,曲奇兔,3,#FFFFFF,米白/白,168,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
21,曲奇兔,4,#FF8B86,红,28,1,粉红,#ED5090,39.741,1粉红:39.741 / 16棕色:43.024 / 17酒红:46.206,False
22,傲娇牛,0,#373737,黑/深灰,180,19,深灰,#373737,-8.0,19深灰:-8.0 / 17酒红:34.922 / 18深蓝:45.425,False
22,傲娇牛,1,#B58F5B,橙/棕,18,5,肤色,#F4BD9E,25.068,5肤色:25.068 / 4橙色:34.762 / 16棕色:35.339,False
22,傲娇牛,2,#FDFDF5,米白/白,147,20,米白,#F2EDE4,-4.458,20米白:-4.458 / 6米黄:27.654 / 15浅紫:28.026,False
22,傲娇牛,3,#8D8D8D,灰,66,15,浅紫,#C4BED9,24.455,15浅紫:24.455 / 19深灰:35.567 / 20米白:35.613,False
22,傲娇牛,4,#F87F89,红,12,1,粉红,#ED5090,30.574,1粉红:30.574 / 17酒红:41.291 / 16棕色:47.116,False
22,傲娇牛,5,#FDD8D0,红,119,20,米白,#F2EDE4,12.98,20米白:12.98 / 5肤色:19.264 / 14浅粉:20.51,False
22,傲娇牛,6,#C98A7E,红,44,17,酒红,#782F3C,39.354,17酒红:39.354 / 16棕色:39.358 / 5肤色:40.153,False
22,傲娇牛,7,#899FC8,天蓝,29,13,天蓝,#20A8DC,26.232,13天蓝:26.232 / 15浅紫:45.907 / 2青色:54.668,False
23,啄木鸟,0,#123060,天蓝,139,18,深蓝,#36387E,38.493,18深蓝:38.493 / 13天蓝:54.383 / 7蓝色:55.006,True
23,啄木鸟,1,#7BA1FF,天蓝,261,13,天蓝,#20A8DC,37.495,13天蓝:37.495 / 7蓝色:44.144 / 18深蓝:63.126,False
23,啄木鸟,2,#FBFDFC,米白/白,77,20,米白,#F2EDE4,-2.897,20米白:-2.897 / 15浅紫:25.918 / 6米黄:31.019,False
23,啄木鸟,3,#F469A7,粉,42,1,粉红,#ED5090,9.872,1粉红:9.872 / 14浅粉:65.307 / 17酒红:65.633,False
23,啄木鸟,4,#6EC9F7,天蓝,38,13,天蓝,#20A8DC,14.355,13天蓝:14.355 / 2青色:36.202 / 15浅紫:77.941,False
23,啄木鸟,5,#88E5C5,青,44,2,青色,#4EEAEA,23.193,2青色:23.193 / 12深绿:40.534 / 13天蓝:57.572,False
23,啄木鸟,6,#FF96C5,粉,2,1,粉红,#ED5090,26.974,1粉红:26.974 / 14浅粉:27.648 / 17酒红:68.977,False
23,啄木鸟,7,#CCB2FF,紫,17,15,浅紫,#C4BED9,51.093,15浅紫:51.093 / 7蓝色:55.642 / 8紫色:66.106,False
24,cpu疼,0,#282628,黑/深灰,165,19,深灰,#373737,-0.179,19深灰:-0.179 / 17酒红:36.254 / 18深蓝:45.252,False
24,cpu疼,1,#BBB7BA,灰,237,15,浅紫,#C4BED9,13.296,15浅紫:13.296 / 20米白:20.086 / 14浅粉:40.031,False
24,cpu疼,2,#7B737A,灰,82,19,深灰,#373737,26.795,19深灰:26.795 / 15浅紫:30.673 / 20米白:45.42,False
24,cpu疼,3,#FCFCFC,米白/白,131,20,米白,#F2EDE4,-2.921,20米白:-2.921 / 15浅紫:25.404 / 6米黄:31.282,False
24,cpu疼,4,#FFA2AA,红,33,14,浅粉,#EEB2BC,33.027,14浅粉:33.027 / 1粉红:40.412 / 5肤色:46.866,True
24,cpu疼,5,#EAD4BE,橙/棕,108,20,米白,#F2EDE4,12.333,20米白:12.333 / 5肤色:17.442 / 6米黄:20.955,False
25,泳圈蛙,0,#295417,绿,170,12,深绿,#207955,33.029,12深绿:33.029 / 11绿色:48.189 / 9黄绿:67.312,False
25,泳圈蛙,1,#7EAA1C,黄绿,220,9,黄绿,#9FCE21,17.228,9黄绿:17.228 / 11绿色:29.798 / 3黄色:51.702,False
25,泳圈蛙,2,#FAE9D1,米黄,244,20,米白,#F2EDE4,9.021,20米白:9.021 / 6米黄:19.608 / 5肤色:23.183,False
25,泳圈蛙,3,#FF8B86,红,10,1,粉红,#ED5090,39.741,1粉红:39.741 / 16棕色:43.024 / 17酒红:46.206,False
25,泳圈蛙,4,#67A5EE,天蓝,72,13,天蓝,#20A8DC,21.641,13天蓝:21.641 / 7蓝色:57.161 / 2青色:60.156,False
26,摸鱼熊,0,#AF4C0C,橙/棕,192,16,棕色,#974714,11.844,16棕色:11.844 / 4橙色:17.917 / 10红色:54.972,False
26,摸鱼熊,1,#FFDF97,黄,444,3,黄色,#F8C811,16.467,3黄色:16.467 / 5肤色:44.876 / 4橙色:55.102,False
26,摸鱼熊,2,#FFA468,橙/棕,64,4,橙色,#FE8B10,15.612,4橙色:15.612 / 5肤色:25.727 / 16棕色:35.725,False
26,摸鱼熊,3,#FFFFFF,米白/白,44,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
26,摸鱼熊,4,#D0010B,红,2,10,红色,#EA281A,8.942,10红色:8.942 / 16棕色:44.599 / 17酒红:60.946,False
26,摸鱼熊,5,#BACCE9,天蓝,366,15,浅紫,#C4BED9,15.347,15浅紫:15.347 / 20米白:24.611 / 13天蓝:34.373,False
26,摸鱼熊,6,#5F81B9,天蓝,20,13,天蓝,#20A8DC,26.758,13天蓝:26.758 / 18深蓝:54.216 / 7蓝色:54.912,False
27,痛哭小狗,0,#362010,橙/棕,186,19,深灰,#373737,33.096,19深灰:33.096 / 17酒红:36.273 / 16棕色:44.164,False
27,痛哭小狗,1,#E5A65C,橙/棕,123,4,橙色,#FE8B10,18.277,4橙色:18.277 / 5肤色:26.897 / 16棕色:37.933,False
27,痛哭小狗,2,#AA673A,橙/棕,113,16,棕色,#974714,14.896,16棕色:14.896 / 4橙色:29.023 / 5肤色:56.452,False
27,痛哭小狗,3,#FFF0DE,橙/棕,116,20,米白,#F2EDE4,6.128,20米白:6.128 / 6米黄:23.758 / 5肤色:25.729,False
