sourceHex,semanticFamily,usage,levelCount,localColorId,localName,localHex,mappingScore,exampleLevels
#FFCA3E,黄,221,2,3,黄色,#F8C811,-17.046,"39,84"
#7EAA1C,黄绿,220,1,9,黄绿,#9FCE21,17.228,25
#D3C3D5,紫,220,1,15,浅紫,#C4BED9,6.435,20
#FFEFEA,红,220,1,20,米白,#F2EDE4,-5.241,80
#D03434,红,217,2,10,红色,#EA281A,21.845,"4,10"
#2A1635,紫,215,1,18,深蓝,#36387E,35.918,75
#525880,蓝,213,1,18,深蓝,#36387E,25.193,39
#FFA2AA,红,211,3,14,浅粉,#EEB2BC,33.027,"14,18,24"
#D1C6DE,紫,204,1,15,浅紫,#C4BED9,4.007,60
#FF86B1,红/粉,204,2,1,粉红,#ED5090,20.027,"17,59"
#FDD8D0,红,203,2,20,米白,#F2EDE4,12.98,"22,35"
#F19640,橙/棕,202,1,4,橙色,#FE8B10,2.553,69
#FBF6D3,米黄,202,1,20,米白,#F2EDE4,13.422,90
#FEB9B8,红,202,1,14,浅粉,#EEB2BC,9.716,9
#787474,灰,200,1,19,深灰,#373737,26.167,92
#7DBC63,绿,200,4,11,绿色,#37A92D,26.573,"34,38,46,97"
#323232,黑/深灰,199,1,19,深灰,#373737,-5.719,72
#592E0D,橙/棕,198,1,16,棕色,#974714,26.027,94
#874628,橙/棕,198,1,16,棕色,#974714,15.375,71
#395328,绿,196,1,12,深绿,#207955,33.538,50
#F3D3AA,橙/棕,195,1,5,肤色,#F4BD9E,13.993,61
#6C1F24,红,194,1,17,酒红,#782F3C,11.065,83
#DA6069,红,193,1,1,粉红,#ED5090,29.982,80
#F16D3B,橙/棕,193,1,4,橙色,#FE8B10,12.089,56
#1C216B,蓝,192,1,18,深蓝,#36387E,11.424,91
#AF4C0C,橙/棕,192,1,16,棕色,#974714,11.844,26
#F97F30,橙/棕,191,1,4,橙色,#FE8B10,-1.357,12
#552F23,红,190,1,17,酒红,#782F3C,24.126,21
#5CADFF,天蓝,190,1,13,天蓝,#20A8DC,23.215,80
#7AC9FF,天蓝,190,1,13,天蓝,#20A8DC,16.532,96
#47281D,橙/棕,189,1,17,酒红,#782F3C,27.91,4
#AD6133,橙/棕,189,1,16,棕色,#974714,11.054,35
#8FD9E9,天蓝,188,2,2,青色,#4EEAEA,23.044,"18,45"
#362010,橙/棕,186,1,19,深灰,#373737,33.096,27
#EA6974,红,185,2,1,粉红,#ED5090,28.508,"55,57"
#6B3C1D,橙/棕,184,1,16,棕色,#974714,22.444,73
#8BF7C3,绿,184,1,12,深绿,#207955,46.29,88
#9A9A9A,灰,184,1,15,浅紫,#C4BED9,20.694,98
#F7E745,黄,184,1,3,黄色,#F8C811,-8.966,94
#5D3920,橙/棕,183,1,16,棕色,#974714,30.229,61
#FFCC44,黄,180,1,3,黄色,#F8C811,-15.587,52
#9997A2,灰,179,1,15,浅紫,#C4BED9,17.455,84
#D67B25,橙/棕,179,2,4,橙色,#FE8B10,3.107,"54,93"
#FFCC70,黄,179,1,3,黄色,#F8C811,4.028,75
#382818,橙/棕,177,1,19,深灰,#373737,29.351,93
#454242,黑/深灰,177,1,19,深灰,#373737,-2.637,65
#9A5320,橙/棕,177,1,16,棕色,#974714,6.55,41
#FFD2D3,红,176,1,14,浅粉,#EEB2BC,13.913,13
#FBA636,橙/棕,174,1,4,橙色,#FE8B10,1.24,30
#D5E034,黄绿,173,1,3,黄色,#F8C811,1.821,69
#476485,天蓝,172,1,13,天蓝,#20A8DC,33.936,76
#3A7E57,绿,171,1,12,深绿,#207955,6.99,30
#FFD68A,黄,170,2,3,黄色,#F8C811,13.198,"9,10"
#DC6B21,橙/棕,169,2,4,橙色,#FE8B10,4.427,"3,7"
#FFBD5B,黄,169,1,3,黄色,#F8C811,1.094,97
#2D2222,红,167,1,17,酒红,#782F3C,34.588,29
#E4B787,橙/棕,167,1,5,肤色,#F4BD9E,11.55,33
#36399B,蓝,166,1,18,深蓝,#36387E,17.014,66
#282628,黑/深灰,165,1,19,深灰,#373737,-0.179,24
#FAB98D,橙/棕,165,1,5,肤色,#F4BD9E,9.108,87
#5A3137,红,164,1,17,酒红,#782F3C,15.371,20
#93513E,红,164,1,16,棕色,#974714,22.611,100
#433C3C,红,163,1,19,深灰,#373737,14.363,92
#CDBBBB,红,163,1,14,浅粉,#EEB2BC,16.946,29
#245B14,绿,162,1,12,深绿,#207955,32.984,87
#2889BE,天蓝,161,1,13,天蓝,#20A8DC,13.561,91
#420C39,粉,161,1,17,酒红,#782F3C,53.627,86
#F1F1F1,米白/白,161,1,20,米白,#F2EDE4,-4.898,77
#F3D69D,黄,161,1,3,黄色,#F8C811,23.751,70
#E49B40,橙/棕,160,1,4,橙色,#FE8B10,8.524,41
#FF747E,红,160,1,1,粉红,#ED5090,30.005,88
#7FB8FF,天蓝,159,1,13,天蓝,#20A8DC,22.864,66
#F5F5F5,米白/白,159,1,20,米白,#F2EDE4,-4.394,19
#FF8299,红,159,1,1,粉红,#ED5090,24.842,33
#262627,黑/深灰,158,1,19,深灰,#373737,-0.095,98
#BA562D,橙/棕,158,1,16,棕色,#974714,12.544,21
#3F220E,橙/棕,156,1,17,酒红,#782F3C,33.752,49
#CB8D65,橙/棕,156,1,5,肤色,#F4BD9E,19.098,4
#0C8B39,绿,154,1,11,绿色,#37A92D,25.504,69
#EC9E55,橙/棕,154,1,4,橙色,#FE8B10,12.535,53
#2E2623,橙/棕,152,1,19,深灰,#373737,0.479,17
#F58E51,橙/棕,152,1,4,橙色,#FE8B10,10.17,75
#DB963F,橙/棕,151,1,4,橙色,#FE8B10,10.972,49
#FFA0C2,红/粉,151,1,14,浅粉,#EEB2BC,19.566,43
#805934,橙/棕,148,1,16,棕色,#974714,25.576,95
#F0B052,黄,148,2,3,黄色,#F8C811,3.281,"48,94"
#D2D2D2,米白/白,146,1,20,米白,#F2EDE4,0.894,91
#EE6C1D,橙/棕,146,1,4,橙色,#FE8B10,1.724,100
#EDA13C,橙/棕,145,1,4,橙色,#FE8B10,5.782,80
#251F1F,黑/深灰,142,1,19,深灰,#373737,3.072,38
#CD616C,红,142,1,17,酒红,#782F3C,28.149,76
#FFDC6B,黄,142,1,3,黄色,#F8C811,-3.512,49
#C98A7E,红,141,2,17,酒红,#782F3C,39.354,"22,44"
#F87F89,红,141,4,1,粉红,#ED5090,30.574,"22,32,44,64"
#7BD4EC,天蓝,140,1,13,天蓝,#20A8DC,23.456,62
#D9442B,红,140,1,10,红色,#EA281A,16.877,75
#123060,天蓝,139,1,18,深蓝,#36387E,38.493,23
#996541,橙/棕,139,1,16,棕色,#974714,21.527,32
#8B3231,红,138,1,17,酒红,#782F3C,15.974,29
#DD713D,橙/棕,138,1,4,橙色,#FE8B10,13.815,96
#FFE4E5,红,138,3,20,米白,#F2EDE4,9.551,"34,38,46"
#5A3A2D,橙/棕,137,1,17,酒红,#782F3C,26.667,6
#6DA24C,绿,136,1,11,绿色,#37A92D,28.488,88
#FDF5EB,米白/白,136,2,20,米白,#F2EDE4,-6.785,"48,61"
#FFF8CA,黄,136,1,6,米黄,#EBDEA6,11.387,54
#323644,蓝,135,1,18,深蓝,#36387E,38.571,40
#753876,紫,135,1,18,深蓝,#36387E,34.23,63
#F5CEDC,红/粉,134,1,14,浅粉,#EEB2BC,14.216,95
#4079D9,天蓝,133,2,7,蓝色,#4A4DCF,34.646,"37,50"
#D75B5A,红,133,1,16,棕色,#974714,33.765,63
#211919,黑/深灰,132,1,19,深灰,#373737,28.018,92
#26282A,天蓝,132,1,19,深灰,#373737,17.276,48
#366BDA,天蓝,131,1,7,蓝色,#4A4DCF,23.247,42
#8A8A8A,灰,131,1,15,浅紫,#C4BED9,25.392,4
#AEC9FF,天蓝,131,1,13,天蓝,#20A8DC,30.456,61
#FCFCFC,米白/白,131,1,20,米白,#F2EDE4,-2.921,24
#601915,红,130,1,17,酒红,#782F3C,18.479,51
#2D2A3E,蓝,129,1,18,深蓝,#36387E,34.504,100
#9868E4,紫,129,1,7,蓝色,#4A4DCF,23.555,94
#7785E3,蓝,128,1,7,蓝色,#4A4DCF,33.14,13
#D4B39A,橙/棕,128,2,5,肤色,#F4BD9E,11.925,"40,77"
#6D4940,红,127,1,17,酒红,#782F3C,23.956,44
#FFD5D2,红,126,1,20,米白,#F2EDE4,15.136,51
#641725,红,125,3,17,酒红,#782F3C,9.338,"34,38,46"
#D13645,红,125,1,10,红色,#EA281A,30.905,72
#E1E1E1,米白/白,125,1,20,米白,#F2EDE4,-3.396,28
#FBB52E,黄,125,1,3,黄色,#F8C811,-10.851,90
#2E6222,绿,124,2,12,深绿,#207955,28.718,"32,52"
#3A3A50,蓝,124,2,18,深蓝,#36387E,31.17,"8,11"
#86D5FF,天蓝,123,1,13,天蓝,#20A8DC,19.963,19
#9CC939,黄绿,122,1,9,黄绿,#9FCE21,9.361,34
#B95852,红,122,1,17,酒红,#782F3C,26.812,51
#DD6791,红/粉,122,1,1,粉红,#ED5090,15.474,63
#FF7C7A,红,122,1,1,粉红,#ED5090,36.704,84
#823D46,红,121,1,17,酒红,#782F3C,5.935,53
#CA80C9,粉,121,1,1,粉红,#ED5090,41.955,60
#397ED0,天蓝,119,1,13,天蓝,#20A8DC,31.371,36
#B9446D,红/粉,119,1,1,粉红,#ED5090,19.31,59
#29204F,蓝,118,1,18,深蓝,#36387E,19.447,47
#AA2A32,红,118,1,17,酒红,#782F3C,29.037,56
#D6D6D6,米白/白,118,1,20,米白,#F2EDE4,-0.357,14
#FF8B86,红,118,5,1,粉红,#ED5090,39.741,"21,25,34,73,98"
#FF9693,红,118,1,1,粉红,#ED5090,41.168,39
#411B01,橙/棕,117,1,17,酒红,#782F3C,32.831,56
#331104,橙/棕,116,1,17,酒红,#782F3C,31.992,70
#F9F1F0,米白/白,116,1,20,米白,#F2EDE4,-5.388,51
#548C1A,绿,115,1,11,绿色,#37A92D,24.719,80
#578FDD,天蓝,115,1,13,天蓝,#20A8DC,27.488,96
#B78E5F,橙/棕,115,1,5,肤色,#F4BD9E,23.186,32
#CF28B9,粉,115,1,8,紫色,#7221BC,40.753,69
#D31847,红/粉,115,1,1,粉红,#ED5090,30.878,39
#663A11,橙/棕,114,1,16,棕色,#974714,22.206,81
#0D1342,蓝,113,1,18,深蓝,#36387E,22.28,69
#976CFF,蓝,113,1,7,蓝色,#4A4DCF,23.089,66
#AA673A,橙/棕,113,1,16,棕色,#974714,14.896,27
#FAFE77,黄,113,1,3,黄色,#F8C811,6.791,69
#1D120B,黑/深灰,112,1,19,深灰,#373737,31.884,85
#AF215D,粉,112,1,1,粉红,#ED5090,19.713,16
#7440D9,紫,111,1,8,紫色,#7221BC,12.365,50
#A78156,橙/棕,111,1,5,肤色,#F4BD9E,27.456,75
#F9FF9C,黄绿,111,1,3,黄色,#F8C811,17.897,87
#21375F,天蓝,110,1,18,深蓝,#36387E,42.515,35
#783D32,红,110,1,17,酒红,#782F3C,17.238,10
#EFA067,橙/棕,110,1,4,橙色,#FE8B10,19.551,76
#ACE946,黄绿,108,2,9,黄绿,#9FCE21,11.622,"17,81"
#DAC4B0,橙/棕,108,1,20,米白,#F2EDE4,16.208,48
#E0A254,橙/棕,108,1,4,橙色,#FE8B10,17.204,63
#492812,橙/棕,107,1,17,酒红,#782F3C,31.995,74
#173922,绿,104,1,12,深绿,#207955,32.17,78
#3B5591,天蓝,104,1,18,深蓝,#36387E,36.599,72
#805434,橙/棕,104,1,16,棕色,#974714,23.789,93
#FFCF78,黄,104,1,3,黄色,#F8C811,6.794,7
#1A3616,绿,102,1,12,深绿,#207955,38.441,69
#654131,橙/棕,102,1,17,酒红,#782F3C,26.379,66
#6A678F,蓝,101,1,18,深蓝,#36387E,29.164,31
#C68467,橙/棕,101,1,5,肤色,#F4BD9E,21.385,66
#F6D86C,黄,101,1,3,黄色,#F8C811,-1.185,54
#F891BA,红/粉,101,1,14,浅粉,#EEB2BC,25.327,50
#6A4E3B,橙/棕,100,1,17,酒红,#782F3C,32.147,75
#824C32,橙/棕,99,1,16,棕色,#974714,21.773,49
#94C7AA,绿,99,1,6,米黄,#EBDEA6,47.429,30
#8561D9,蓝,98,1,7,蓝色,#4A4DCF,18.591,76
#6953AE,蓝,97,1,18,深蓝,#36387E,21.448,2
#744E47,红,97,1,17,酒红,#782F3C,23.122,89
#FFD6A8,橙/棕,97,1,5,肤色,#F4BD9E,13.404,10
#4E2A10,橙/棕,96,1,16,棕色,#974714,31.942,41
#5BA34D,绿,96,1,11,绿色,#37A92D,21.772,53
#FFBD75,橙/棕,96,1,4,橙色,#FE8B10,20.874,68
#1C60BA,天蓝,94,1,7,蓝色,#4A4DCF,33.678,58
#975736,橙/棕,94,1,16,棕色,#974714,15.97,85
#9ACCEB,天蓝,94,1,13,天蓝,#20A8DC,24.009,88
#3D2324,红,93,1,17,酒红,#782F3C,26.222,84
#9FDDF4,天蓝,93,1,13,天蓝,#20A8DC,27.556,13
#FFEF97,黄,93,1,3,黄色,#F8C811,12.992,66
#2B283E,蓝,92,1,18,深蓝,#36387E,33.195,84
#4FC39C,青,92,1,12,深绿,#207955,28.26,45
#A20036,红/粉,92,1,17,酒红,#782F3C,29.294,9
#112C66,天蓝,91,1,18,深蓝,#36387E,32.088,42
#4FAAF4,天蓝,91,1,13,天蓝,#20A8DC,17.296,5
#C17A58,橙/棕,91,1,16,棕色,#974714,24.106,60
#743821,橙/棕,90,1,16,棕色,#974714,21.494,84
#8080FF,蓝,90,1,7,蓝色,#4A4DCF,20.67,61
#FF615B,红,90,1,10,红色,#EA281A,25.933,83
#0E9E49,绿,88,1,11,绿色,#37A92D,22.966,87
#3B3B3B,黑/深灰,88,1,19,深灰,#373737,-6.199,55
#FCEED1,米黄,88,1,20,米白,#F2EDE4,10.818,5
#FF96C5,粉,88,2,1,粉红,#ED5090,26.974,"16,23"
#1D4B6A,天蓝,86,1,13,天蓝,#20A8DC,40.081,19
#AA2337,红,86,1,17,酒红,#782F3C,27.228,20
#FBCC40,黄,86,1,3,黄色,#F8C811,-17.004,8
#900F15,红,85,1,16,棕色,#974714,28.632,41
#91BA38,黄绿,85,1,9,黄绿,#9FCE21,16.165,80
#B5A9A2,橙/棕,85,1,14,浅粉,#EEB2BC,21.834,89
#78C5FF,天蓝,84,1,13,天蓝,#20A8DC,16.509,81
#850000,红,84,1,16,棕色,#974714,27.524,78
#FFCB9F,橙/棕,84,1,5,肤色,#F4BD9E,8.865,3
#E2C7B4,橙/棕,83,1,5,肤色,#F4BD9E,14.375,85
#3A76BF,天蓝,82,1,13,天蓝,#20A8DC,30.455,33
#6EB842,绿,82,2,11,绿色,#37A92D,16.383,"63,100"
#7B737A,灰,82,1,19,深灰,#373737,26.795,24
#B34E0C,橙/棕,82,1,16,棕色,#974714,13.368,9
#BDD56D,黄绿,82,1,9,黄绿,#9FCE21,27.908,63
#D74126,红,82,2,10,红色,#EA281A,15.867,"93,98"
#3B57BB,蓝,81,1,7,蓝色,#4A4DCF,21.609,47
#67ACFF,天蓝,81,1,13,天蓝,#20A8DC,25.583,65
#B62869,粉,81,1,1,粉红,#ED5090,17.263,43
#E09B45,橙/棕,81,1,4,橙色,#FE8B10,11.499,87
#259DF8,天蓝,80,1,13,天蓝,#20A8DC,26.342,81
#4D8DD9,天蓝,80,1,13,天蓝,#20A8DC,25.523,15
#69A74D,绿,80,1,11,绿色,#37A92D,24.165,78
#C4B9B3,橙/棕,80,1,20,米白,#F2EDE4,18.234,97
#D76D63,红,80,1,16,棕色,#974714,31.326,72
#EADCDC,米白/白,80,1,20,米白,#F2EDE4,-2.412,76
#FF6460,红,80,2,10,红色,#EA281A,28.388,"5,9"
#33570E,绿,79,1,12,深绿,#207955,39.418,80
#573016,橙/棕,79,1,16,棕色,#974714,29.354,59
#5F1C1F,红,79,1,17,酒红,#782F3C,12.851,84
#77472B,橙/棕,79,1,16,棕色,#974714,22.86,42
#DD8533,橙/棕,79,1,4,橙色,#FE8B10,4.638,70
#E1C0A4,橙/棕,79,1,5,肤色,#F4BD9E,10.515,86
#347318,绿,78,1,11,绿色,#37A92D,30.002,63
#F4F9A8,黄绿,78,1,3,黄色,#F8C811,23.513,50
#F6CCCF,红,78,1,14,浅粉,#EEB2BC,11.942,57
#FF9F9D,红,78,1,14,浅粉,#EEB2BC,37.909,30
#FFBB8B,橙/棕,78,1,5,肤色,#F4BD9E,11.705,50
#1F5AA2,天蓝,77,1,13,天蓝,#20A8DC,39.837,39
#BD5CE0,紫,77,1,8,紫色,#7221BC,28.027,47
#E69641,橙/棕,77,1,4,橙色,#FE8B10,6.662,88
#D6BBF4,紫,76,1,15,浅紫,#C4BED9,20.404,11
#523A32,橙/棕,75,1,17,酒红,#782F3C,28.679,77
#93C7FF,天蓝,75,1,13,天蓝,#20A8DC,22.406,47
#C1DBA8,绿,75,1,6,米黄,#EBDEA6,23.341,88
#684944,红,74,1,17,酒红,#782F3C,24.504,87
#BE674A,橙/棕,74,1,16,棕色,#974714,19.286,50
#D0E8F0,天蓝,74,1,20,米白,#F2EDE4,13.607,71
#D3F29D,黄绿,74,1,6,米黄,#EBDEA6,27.988,19
#FEA6ED,粉,74,1,14,浅粉,#EEB2BC,39.193,13
#B5E0A3,绿,73,1,6,米黄,#EBDEA6,31.374,78
#E5B67A,橙/棕,73,1,5,肤色,#F4BD9E,17.584,74
#F24C58,红,73,1,10,红色,#EA281A,28.825,35
#462F1E,橙/棕,72,1,19,深灰,#373737,31.21,85
#67A5EE,天蓝,72,1,13,天蓝,#20A8DC,21.641,25
#D89942,橙/棕,72,1,4,橙色,#FE8B10,13.885,73
#FF8874,红,72,1,16,棕色,#974714,37.251,63
#416627,绿,71,2,12,深绿,#207955,32.533,"38,46"
#9F9FD4,蓝,71,1,15,浅紫,#C4BED9,42.867,11
#F1515F,红,71,1,1,粉红,#ED5090,32.037,42
#FBCC6B,黄,71,1,3,黄色,#F8C811,1.668,87
#70C7FF,天蓝,70,1,13,天蓝,#20A8DC,14.958,82
#8E56AE,紫,70,1,18,深蓝,#36387E,33.763,11
#D1B79D,橙/棕,70,1,5,肤色,#F4BD9E,14.719,64
#FFA49E,红,70,1,14,浅粉,#EEB2BC,37.388,51
#573030,红,69,1,17,酒红,#782F3C,18.299,98
#5E2916,橙/棕,69,1,17,酒红,#782F3C,24.437,7
#D7C2FF,紫,69,1,15,浅紫,#C4BED9,20.401,19
#2A64BD,天蓝,68,3,7,蓝色,#4A4DCF,34.005,"3,10,12"
#8FE1F5,天蓝,68,1,2,青色,#4EEAEA,22.622,76
#A1290D,红,68,1,16,棕色,#974714,19.916,70
#FFDF96,黄,68,1,3,黄色,#F8C811,15.96,36
#5C5C75,蓝,67,1,18,深蓝,#36387E,33.01,68
#A43D34,红,67,1,16,棕色,#974714,22.622,79
#A8D7FF,天蓝,67,1,13,天蓝,#20A8DC,26.949,16
#871400,红,66,1,16,棕色,#974714,21.941,74
#BBCEDE,天蓝,66,1,20,米白,#F2EDE4,19.554,84
#F95959,红,66,1,10,红色,#EA281A,26.529,78
